Country,Year,Annual CO₂ emissions,Forest_land_share_land_area_%,Naturally_regenerating_forest_share_forest_land_%,Log Forest,Log Naturally,Cluster
Ukraine,2020,206823860.0,16.72,49.97,2.8746939451769347,3.93123722435195,0
United Kingdom,2020,326263200.0,13.19,10.78,2.6525374911719513,2.4664031782234406,1
United States,2020,4714628000.0,33.87,91.12,3.5516268606875596,4.523092074952484,0
Uruguay,2020,6473680.0,11.6,41.8,2.533696813957432,3.756538102587751,1
Uzbekistan,2020,109631970.0,8.37,38.57,2.2375130962503307,3.678071255397333,1
Venezuela,2020,80927096.0,52.41,97.06,3.977997994351679,4.585579536223087,0
Vietnam,2020,362459620.0,46.72,70.3,3.8653505972297153,4.26689632742025,0
Yemen,2020,10883986.0,1.04,100.0,0.712949807856125,4.61512051684126,1
Zambia,2020,8144346.0,60.28,99.88,4.1154535254323354,4.613931691656664,0
Zimbabwe,2020,8494503.0,45.09,99.38,3.830596006732417,4.608962984226787,0
