Year,Cluster,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share
1990,0,7474895012.0,0.9377395020351141,0.060532259558436816,0.00975824940250017,0.05077401015593663,0.7994928015022915,0.1905257092380169,0.025495694423033222,0.16503001481498364,0.22744099598320214,0.06789410384516797,0.7046649001716299
1990,1,10991822160.0,0.8878465569363873,0.11103897532960832,0.08670383121529018,0.024335144114318082,0.41204767126638475,0.3315555909689785,0.26097739802740744,0.07057819294157106,0.620256423869445,0.04539592673951915,0.33434764939103573
1990,2,440872335.0,0.9861188132114923,0.013751930775256589,0.0,0.013751930775256589,0.0,0.043327401912566,0.0,0.043327401912566,0.0016532180009421727,0.25006991486213764,0.7482768671369201
1990,3,1157423087.0,0.7148042934107814,0.27447356331283834,0.0069357159425491085,0.2675378473702892,0.024580470578454017,0.6137009898361537,0.015449225312543597,0.5982517645236102,0.19729875421552104,0.08738249445764014,0.7153187513268388
1991,0,7804119704.0,0.9365178681809183,0.06171238694649437,0.01025779402379772,0.05145459292269664,0.8027013060194046,0.18743071061836591,0.026416169055891676,0.16101454156247422,0.2276325584206032,0.06929002588534011,0.7030774156940567
1991,1,10667273356.0,0.8821323483505601,0.1166832055238885,0.0893249345835735,0.02735827094031498,0.4113869248072062,0.336962252293218,0.2578322840421541,0.07912996825106391,0.6181864071043228,0.04789274881903537,0.33392084407664174
1991,2,896437565.0,0.987565740386317,0.012329703798627335,0.0,0.012329703798627335,0.0,0.042331595743934,0.0,0.042331595743934,0.0015021335841362818,0.25142338545368365,0.74707448096218
1991,3,1161437095.0,0.7087867190681135,0.28027269837380314,0.0077665776543905446,0.27250612071941255,0.024272634383056844,0.6160031719573318,0.01644211550348,0.5995610564538517,0.19670700384205136,0.08820709125939283,0.7150859048985557
1992,0,8019945328.0,0.9352516879032222,0.06293798921693305,0.010163203382157015,0.05277478583477603,0.7968706365435504,0.19325851200157845,0.02607996892691789,0.16717854307466057,0.22864431411618952,0.06923248710715892,0.7021231987766515
1992,1,10239155704.0,0.8841964139478709,0.11450173453425024,0.09025421401903,0.02424752051522017,0.4134986488382886,0.329397941488448,0.25931921762882326,0.07007872385962466,0.6189265354688701,0.04716889878875678,0.333904565742373
1992,2,482823152.0,0.9853409382590463,0.014540526236850548,0.0,0.014540526236850548,0.0,0.050167418341470274,0.0,0.050167418341470274,0.0010551512991181728,0.24153368062771313,0.7574111680731687
1992,3,1184027252.0,0.7213250589630902,0.26743423252578563,0.007350938765043818,0.2600832937607418,0.0252257790658487,0.5938749863415846,0.015625738056280217,0.5782492482853044,0.19727733498385655,0.08753296693446716,0.7151896980816762
1993,0,8320644882.0,0.9321503802652437,0.06601886223428617,0.010819542422426186,0.05519931981185996,0.7903316872235397,0.1997402380644693,0.027352896470162952,0.17238734159430633,0.22944680570500564,0.07043527510951296,0.7001179191854814
1993,1,10143248052.0,0.876768872465684,0.12176972239036238,0.09434148006756458,0.027428242322797756,0.4031534984510005,0.34350072002663634,0.26602431719302444,0.07747640283361187,0.6164058643072109,0.04943838861882343,0.33415574707396556
