Year,Cluster,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)"
1990,0,7600029311.9,37.097315782558454,74.15037116615676,1.6553424306752713,5047.088692975436,37.17164261848158,141.1325300566698,64.61917142857142,2.523231882729528,85.28913380865157,2297.9778204082886,2174.205954475254,76.502766139148
1990,1,849164914.13,18.694946536599414,88.39315653444058,0.8114215257212241,481.60639608941176,28.073956779235864,66.02181955545541,27.30047619047619,1.2935087888537773,6.708229605042521,102.15002581481396,134.4740099798667,1.773536629792799
1990,2,10535115931.0,40.86477160479086,73.12315252190764,1.862955085078508,21353.595485308666,40.36692221752622,354.05772474688143,79.9055,0.7235175570150922,139.51960351430094,8158.916576769106,7874.676131417393,321.8500619234487
1990,3,2497338689.0,30.50702535384251,82.08090090384592,1.296728068896606,1539.9209283234898,39.3478724068984,87.84020032885633,47.55454716981132,2.1588110458453387,31.51333500618687,466.6513224327417,529.8290281549966,14.975655904513468
1991,0,7608132578.0,36.17713151878375,75.70305255814138,2.0414140262480376,5093.711059578905,37.63091151891134,138.99352309858483,64.94225714285714,2.742666258783045,87.72186537876682,2100.1548332353905,2142.335739903012,116.66807324965274
1991,1,878168624.1199999,17.222337614593645,87.89170970054784,0.3811832193682425,495.45134498598895,26.585730427354125,67.68937457166791,27.69195238095238,1.3006663409278654,6.8972304983527835,98.31522443263053,139.34227709719883,3.281855191627465
1991,2,10538486532.0,39.93486428368157,74.08070976476397,1.4704272331393364,21853.792390182825,39.23022102556862,362.23731827029263,80.09126923076923,0.7756708775972108,152.08501192003584,8392.58857116573,8023.410603567348,256.03464283544145
1991,3,2456690996.5,30.147078216838054,84.0755967162297,2.24181271020702,1307.993729585977,39.09087875400756,93.57672770921228,48.0232641509434,5.343063494153804,31.046121439549005,446.7436332921607,515.9754109565617,16.02024626400525
1992,0,7265277373.0,39.46682910150328,76.07109281606955,1.9408829586261507,5376.127507306854,41.64250558061133,120.56127755355124,65.2364,2.8003991743723553,91.95278672913791,2162.3891798561494,2275.048977221866,107.73676097215706
1992,1,925685361.2,16.6618945016468,87.7118986197813,0.27378950358788295,435.91255165584437,27.635076528925392,67.17470035985029,28.072285714285716,1.308928539354912,6.362434119413358,89.1489793431535,126.81333397292353,1.754676799088997
