Country,Year,Electricity Generation Twh,Nuclear_TWh,Hydro_TWh,Solar_TWh,Wind_TWh,Oil_Production,Gas_Production,Coal_Production,Oil_Electricity,Gas_Electricity,Coal_Electricity
Total Asia Pacific,2000,4286.453577915814,500.03927532,521.6012540954812,0.4270494262487893,2.56394697970707,381.4692612870159,9.988370530772954,46.72757085348712,422.9736106772374,600.148856829142,2173.5887603830724
Total Asia Pacific,2001,4478.513966823165,506.6039518,570.3791080373318,0.6066514262891932,3.517409417979797,377.7302354966489,10.277771395863963,49.61716467348742,383.8904443935584,639.5271447072524,2308.012803826952
Total Asia Pacific,2002,4762.71214235342,519.2896706710001,578.7842451672717,0.827006425131313,4.067013246681213,378.79020450799766,10.94714177551441,52.56612270997721,395.90739380289705,687.444931180309,2507.745535136404
Total Asia Pacific,2003,5099.223906799877,462.02941,594.227376021383,1.114225608161616,5.34087585515596,374.9132695747231,11.637408104653671,59.56117417893256,398.2703195141979,750.8768981869737,2816.439786001333
Total Asia Pacific,2004,5567.908199455492,530.210443,699.0906767711302,1.461392013469489,9.186693399974144,378.9461171707845,12.39758850655737,67.94451604029746,395.21502465443183,790.1185564506567,3068.928765707654
Total Asia Pacific,2005,5971.758580322767,553.1420953866291,727.920521112323,1.849222527469489,12.019193605711516,382.77063610245847,13.392873821020087,75.11660855516675,402.6085926437197,800.6359225852857,3394.6340222747463
Total Asia Pacific,2006,6457.576895628762,567.9177098375602,801.7031878953696,2.28616978,18.56980713384283,380.4045204201592,14.022826389002148,80.36236105544958,357.62565395432006,864.5762783707537,3761.308605610472
Total Asia Pacific,2007,7015.862062440381,544.7646745933546,852.1107639002843,2.741510854949494,24.60313141436809,381.91162351073,14.65401677286718,86.40593519370304,374.6073319865035,937.8783174231648,4188.142704679701
Total Asia Pacific,2008,7303.376537813955,528.9005726441845,997.7058709604088,3.32261414801093,36.07992959552717,388.9215120707368,15.34580921055749,90.23980649706208,346.19911457536904,986.6886418116708,4307.623838343945
Total Asia Pacific,2009,7538.707412183084,553.4028720197773,968.0093366442402,4.380260738557743,54.84803127519889,386.0731700429784,16.00325845601037,93.76384492806392,264.36167427934504,1035.5810659710437,4552.325210400171
Total Asia Pacific,2010,8259.013800906903,582.9454166966686,1097.5851513071602,6.73874260981542,81.48429017780444,403.30455033446685,17.572029047179967,100.16103138768813,269.6876957166193,1147.7638779445165,4934.1897231158655
Total Asia Pacific,2011,8876.759786893721,483.1317975119584,1117.7240252534525,12.229102774763067,113.55125388457212,395.543685782749,17.742397693451494,109.5070468306658,331.6125496207808,1222.7139397360663,5448.323544434313
Total Asia Pacific,2012,9279.567854772762,342.9137212098672,1261.9316089877389,17.620450800458983,147.72420923366607,400.51983497564015,18.087852536700662,111.8948122833972,374.86646519806686,1314.8023664441157,5664.040163202154
