Country,Year,Energy Consumption
Canada,1990,10.83089504018426
Mexico,1990,4.748657548800111
US,1990,81.3931058421731
Total North America,1990,96.97265843115747
Argentina,1990,1.8468780979746953
Brazil,1990,5.637570183724165
Chile,1990,0.5604501953348517
Colombia,1990,0.9089321231003851
Ecuador,1990,0.29153557583322254
Peru,1990,0.3852611039765179
Trinidad & Tobago,1990,0.2505598259449471
Venezuela,1990,2.172797206789255
Central America,1990,0.42734656540505966
Other Caribbean,1990,1.3415173067187425
Other South America,1990,0.5742519275136146
Total S. & Cent. America,1990,14.397100112315456
Austria,1990,1.2017665607854724
Belgium,1990,2.236869490938261
Bulgaria,1990,1.1678694039583206
Croatia,1990,0.36295209181844257
Cyprus,1990,0.0693883306812495
Czech Republic,1990,1.9682785663753748
Denmark,1990,0.7270596403104719
Estonia,1990,0.4593060240149498
Finland,1990,1.163696140050888
France,1990,9.539364041760564
Germany,1990,15.093509273603559
Greece,1990,1.0343248944827792
Hungary,1990,1.1637195208459161
Iceland,1990,0.07807710417546332
Ireland,1990,0.42439077980816364
Italy,1990,6.677589397877455
Latvia,1990,0.3112785331904888
Lithuania,1990,0.7058362551033497
Luxembourg,1990,0.13374451795243658
Netherlands,1990,3.2786450490239076
North Macedonia,1990,0.10677444748580456
Norway,1990,1.7745222134981304
Poland,1990,4.357187027519103
Portugal,1990,0.729549010284245
Romania,1990,2.6467749878975155
Slovakia,1990,0.8940735124051571
Slovenia,1990,0.2489367239177227
Spain,1990,3.8475161478854716
Sweden,1990,2.3191438503563404
Switzerland,1990,1.193851343356073
Turkey,1990,2.0207012325990945
Ukraine,1990,11.500910349190235
United Kingdom,1990,9.030216665007174
Other Europe,1990,1.9294168324336738
Total Europe,1990,90.39723996059325
Azerbaijan,1990,0.9379844111390412
Belarus,1990,1.6775010033452418
Kazakhstan,1990,3.093931518495083
Russian Federation,1990,36.273970982059836
Turkmenistan,1990,0.5796287790544739
USSR,1990,0.0
Uzbekistan,1990,1.8708494678139687
Other CIS,1990,1.4837082733865827
Total CIS,1990,45.91757443529423
Iran,1990,2.920618921518326
Iraq,1990,0.8558055050671101
Israel,1990,0.46488706729360274
Kuwait,1990,0.3293736129999161
Oman,1990,0.1676805540919304
Qatar,1990,0.28381558880209923
Saudi Arabia,1990,3.342013359069824
United Arab Emirates,1990,1.241829752922058
Other Middle East,1990,1.1580775048196301
Total Middle East,1990,10.764101866584497
Algeria,1990,1.1339054320706055
Egypt,1990,1.408764511346817
Morocco,1990,0.29792073427233845
South Africa,1990,3.706807993352413
Eastern Africa,1990,0.8751856093686001
Middle Africa,1990,0.31578916178037275
Western Africa,1990,0.8850941485070507
Other Northern Africa,1990,0.6746282546082512
Other Southern Africa,1990,0.09075805719476193
Total Africa,1990,9.38885390250121
Australia,1990,3.783885651268065
Bangladesh,1990,0.26588304433971643
China,1990,28.577697532251477
China Hong Kong SAR,1990,0.5016878694295883
India,1990,8.282524369773455
Indonesia,1990,2.160644137300551
Japan,1990,18.663426890969276
Malaysia,1990,0.867547869682312
New Zealand,1990,0.6711662299931049
Pakistan,1990,1.0997926155105233
Philippines,1990,0.6749597303569317
Singapore,1990,0.9831729480065405
South Korea,1990,3.8377318700358956
Sri Lanka,1990,0.10759316384792328
Taiwan,1990,2.1032342372927815
Thailand,1990,1.27403202894493
Vietnam,1990,0.2776608873391524
Other Asia Pacific,1990,1.99097987350342
Total Asia Pacific,1990,76.12362094984564
Canada,1991,10.874980188906193
Mexico,1991,4.887647617608309
US,1991,81.28698951005936
Total North America,1991,97.04961731657386
Argentina,1991,1.8768497534329072
Brazil,1991,5.819739625789225
Chile,1991,0.6298711476847529
Colombia,1991,0.9330079583451152
Ecuador,1991,0.32197932009148644
Peru,1991,0.38213750114664435
Trinidad & Tobago,1991,0.24979991864529438
Venezuela,1991,2.187508672475815
Central America,1991,0.4518547410134488
