Country,Year,Coal Consumption,Gas Consumption,Hydro Consumption,Nuclear Consumption,Oil Consumption,Primary Energy Consumption,Solar Consumption,Wind Consumption
Croatia,2008,0.029688725247979164,0.10897339880466461,0.058471690863370895,0.0,0.1903843879699707,0.38831212116929237,0.0,0.0004036367463413626
Croatia,2009,0.02121543698012829,0.1006195992231369,0.07448231428861618,0.0,0.18593905866146088,0.3833596328404383,9.148924959845317e-07,0.0005449139862321317
Croatia,2010,0.028583325445652008,0.11021099984645844,0.09118978679180145,0.0,0.15799635648727417,0.38975122559349984,1.1990500752290245e-06,0.0013898988254368305
Croatia,2011,0.02942156419157982,0.10761000216007233,0.04997245594859123,0.0,0.15024442970752716,0.3400137950811768,1.3605684898720938e-06,0.0019961625803261995
Croatia,2012,0.026385171338915825,0.10103780031204224,0.047744885087013245,0.0,0.1346403807401657,0.31534094998278306,2.3729806343908422e-05,0.0032450412400066853
Croatia,2013,0.0282673891633749,0.09553659707307816,0.08459184318780899,0.0,0.12951907515525818,0.3458627900618012,0.00011070320033468306,0.00507536344230175
Croatia,2014,0.027075868099927902,0.08454856276512146,0.08783446252346039,0.0,0.1355852633714676,0.3456314967538674,0.0003430433280300349,0.0071192169561982155
Croatia,2015,0.025360075756907463,0.08716432005167007,0.06195530295372009,0.0,0.14085768163204193,0.32767158188516987,0.0005551573121920228,0.007719841320067644
Croatia,2016,0.027255356311798096,0.09087672084569931,0.06603597849607468,0.0,0.14145542681217194,0.34103002837446184,0.0006316406070254743,0.00977464858442545
Croatia,2017,0.016426239162683487,0.10438801348209381,0.05084831640124321,0.0,0.15120558440685272,0.34122024873522605,0.0007539967773482203,0.011535096913576126
Croatia,2018,0.015293710865080357,0.09597011655569077,0.07334812730550766,0.0,0.1465035229921341,0.35337756750413973,0.0007133939070627093,0.012719174847006798
Croatia,2019,0.017639867961406708,0.10073312371969223,0.05528677999973297,0.0,0.1430046558380127,0.344927494879812,0.000788577483035624,0.013923943974077702
Croatia,2020,0.015122344717383385,0.10572513937950134,0.053535960614681244,0.0,0.1225690171122551,0.32896248928591376,0.000902918225619942,0.016268601641058922
Croatia,2021,0.017389288172125816,0.10170649737119675,0.06714319437742233,0.0,0.12958189845085144,0.3539234936615685,0.001402643509209156,0.01942223310470581
Croatia,2022,0.017018839716911316,0.08929841220378876,0.051243025809526443,0.0,0.14183585345745087,0.33540234572319605,0.0014256855938583612,0.020064717158675194
Croatia,2023,0.014064325951039791,0.09000517427921295,0.07640784978866577,0.0,0.14515456557273865,0.36418397637680755,0.0035249139182269573,0.02197110839188099
Cyprus,1990,0.0025539479684084654,0.0,0.0,0.0,0.06683438271284103,0.0693883306812495,0.0,0.0
Cyprus,1991,0.0018840599805116653,0.0,0.0,0.0,0.06835970282554626,0.07024376280605793,0.0,0.0
Cyprus,1992,0.003475043922662735,0.0,0.0,0.0,0.07859300076961517,0.08206804469227791,0.0,0.0
Cyprus,1993,0.0029307599179446697,0.0,0.0,0.0,0.08235388249158859,0.08528464240953326,0.0,0.0
Cyprus,1994,0.0040193279273808,0.0,0.0,0.0,0.08141716569662094,0.08543649362400174,0.0,0.0
Cyprus,1995,0.004479875788092613,0.0,0.0,0.0,0.08635054528713226,0.09083042107522488,0.0,0.0
Cyprus,1996,0.004186800215393305,0.0,0.0,0.0,0.08799054473638535,0.09217734495177865,0.0,0.0
Cyprus,1997,0.0031819678843021393,0.0,0.0,0.0,0.08988387137651443,0.09306583926081657,0.0,0.0
Cyprus,1998,0.0005861520185135305,0.0,0.0,0.0,0.09822162985801697,0.0988077818765305,0.0,0.0
Cyprus,1999,0.0010048319818452,0.0,0.0,0.0,0.10296561568975449,0.10397044767159969,0.0,0.0
Cyprus,2000,0.001507248030975461,0.0,0.0,0.0,0.10743273049592972,0.10893997852690518,0.0,0.0
Cyprus,2001,0.002219004090875387,0.0,0.0,0.0,0.10797574371099472,0.11019474780187011,0.0,0.0
Cyprus,2002,0.001842192024923861,0.0,0.0,0.0,0.10682717710733414,0.108669369132258,0.0,0.0
Cyprus,2003,0.001842192024923861,0.0,0.0,0.0,0.11367569118738174,0.1155178832123056,0.0,0.0
Cyprus,2004,0.001842192024923861,0.0,0.0,0.0,0.11057208478450775,0.11242210913951567,4.149578671786003e-06,3.6827511848969152e-06
Cyprus,2005,0.001842192024923861,0.0,0.0,0.0,0.12412234395742416,0.12597402991650597,5.834491730638547e-06,3.6594426546798786e-06
