Country,Year,Oil_Production,Gas_Production,Coal_Production
Algeria,1990,58.35548992443326,1.85965096950531,
Algeria,1991,58.693727959697725,2.005309820175171,
Algeria,1992,56.50141057934509,2.088040828704834,
Algeria,1993,56.32321158690176,2.1148781776428223,
Algeria,1994,56.07125440806045,1.9443918466567995,
Algeria,1995,55.81125440806045,2.21368670463562,
Algeria,1996,59.012319899244325,2.349045991897583,
Algeria,1997,61.56702518891688,2.6949174404144287,
Algeria,1998,61.38579345088161,2.885835647583008,
Algeria,1999,58.528459068010086,3.24384880065918,
Algeria,2000,66.787,3.307990789413452,
Algeria,2001,65.751,3.113011360168457,
Algeria,2002,70.894,3.201897144317627,
Algeria,2003,79.005,3.378873109817505,
Algeria,2004,83.551,3.3139777183532715,
Algeria,2005,86.43767,3.0568230152130127,
Algeria,2006,86.20200000000001,2.92678165435791,
Algeria,2007,86.48200000000001,2.939255475997925,
Algeria,2008,84.761008024,2.973628282546997,
Algeria,2009,77.234,2.7564074993133545,
Algeria,2010,73.775,2.786275863647461,
Algeria,2011,71.67500000000001,2.865555047988892,
Algeria,2012,67.212,2.823975086212158,
Algeria,2013,64.78399999999999,2.8561995029449463,
Algeria,2014,68.771,2.8862063884735107,
Algeria,2015,67.225,2.9308009147644043,
Algeria,2016,68.417,3.290121555328369,
Algeria,2017,66.64800000000001,3.347155332565308,
Algeria,2018,65.33200000000001,3.3783750534057617,
Algeria,2019,64.33,3.1302809715271,
Algeria,2020,57.625,2.931286096572876,
Algeria,2021,58.2,3.6395320892333984,
Algeria,2022,62.066,3.5147573947906494,
Algeria,2023,60.38108111170462,3.655575037002564,
Angola,1990,23.38,,
Angola,1991,24.514,,
Angola,1992,27.153,,
Angola,1993,24.81,,
Angola,1994,27.424,,
Angola,1995,31.173,,
Angola,1996,35.364,,
Angola,1997,36.5,,
Angola,1998,36.0,,
Angola,1999,36.7,,
Angola,2000,36.85,,
Angola,2001,36.55,,
Angola,2002,44.6,,
Angola,2003,42.83272874527665,,
Angola,2004,54.58297533854529,,
Angola,2005,62.43436379310345,,
Angola,2006,68.67886297291636,,
Angola,2007,81.18433669886541,,
Angola,2008,92.29060962134751,,
Angola,2009,86.03681220624505,,
Angola,2010,88.92848385433888,,
Angola,2011,82.03175100384249,,
Angola,2012,85.29585679342587,,
Angola,2013,85.20591952766532,,
Angola,2014,83.27741204318487,,
Angola,2015,88.1626587219973,,
Angola,2016,85.76803662618084,,
Angola,2017,81.60494215789473,,
Angola,2018,74.08543234816197,,
Angola,2019,69.09017182398384,,
Angola,2020,64.57157159070623,,
Angola,2021,57.12080552018725,,
Angola,2022,57.782553534059055,,
Angola,2023,55.78783442902439,,
Argentina,1990,25.43655172413793,0.6245784163475037,
Argentina,1991,25.882,0.6977493166923523,
Argentina,1992,29.04044827586207,0.7033509016036987,
Argentina,1993,31.067827586206896,0.7534152269363403,
Argentina,1994,34.511,0.7796726822853088,
Argentina,1995,37.45693103448277,0.8756000995635986,
Argentina,1996,40.816,1.0128393173217771,
Argentina,1997,43.38558620689656,0.9585738182067872,
Argentina,1998,44.02806896551724,1.0359458923339844,
Argentina,1999,41.68886435423841,1.2102956771850586,
Argentina,2000,41.34747247087444,1.3097240924835205,
Argentina,2001,43.92917095181867,1.3002713918685913,
Argentina,2002,43.27405411445477,1.2642110586166382,
Argentina,2003,43.0940215790796,1.4368103742599487,
Argentina,2004,41.02583572363434,1.5712487697601318,
Argentina,2005,39.36907666188509,1.5975062847137451,
Argentina,2006,39.43316778169774,1.6139609813690186,
Argentina,2007,38.21446871450309,1.5694983005523682,
Argentina,2008,37.80479419633343,1.5425405502319336,
Argentina,2009,34.04366137041652,1.4508428573608398,
Argentina,2010,33.27852624833703,1.4038918018341064,
Argentina,2011,31.185337295536616,1.3578424453735352,
Argentina,2012,30.8407467199794,1.3208832740783691,
Argentina,2013,30.18594777031469,1.2440106868743896,
Argentina,2014,29.78630492572796,1.241491675376892,
Argentina,2015,30.045688435394577,1.2776812314987185,
Argentina,2016,28.63608753731151,1.3421648740768433,
Argentina,2017,27.25844207548997,1.3373960256576538,
Argentina,2018,27.55968062780961,1.4192384481430054,
Argentina,2019,33.82902767234192,1.4981493949890137,
Argentina,2020,33.731233885193525,1.378530979156494,
Argentina,2021,37.579203193635095,1.38990581035614,
Argentina,2022,45.35934559356146,1.499454140663147,
Argentina,2023,51.245193207550464,1.4969725608825684,
Australia,1990,30.275085388150192,0.7420012950897217,4.804564476013184
Australia,1991,28.61304625159747,0.7767540216445923,4.983927249908447
Australia,1992,28.198353369869565,0.8400094509124756,5.318047046661377
Australia,1993,26.301506669367647,0.8778204917907715,5.34276008605957
Australia,1994,28.318066488001843,1.0076837539672852,5.460877418518066
Australia,1995,26.66500505354354,1.0654548406600952,5.730544567108154
Australia,1996,28.065861859261027,1.066813349723816,5.906455993652344
Australia,1997,29.78808112070766,1.066955327987671,6.440811634063721
Australia,1998,28.20511710799976,1.0898535251617432,6.595566272735596
Australia,1999,27.471823366867373,1.1056511402130127,6.954904556274414
Australia,2000,37.09170611655387,1.1229238510131836,7.188551425933838
Australia,2001,34.320505297600015,1.1750874519348145,7.768515586853027
Australia,2002,34.107292575277754,1.1880418062210083,8.006567001342773
Australia,2003,29.52282915329545,1.2148281335830688,8.276571273803711
Australia,2004,25.78325124371828,1.293491244316101,8.599791526794434
Australia,2005,25.327277748938503,1.3764700889587402,9.004638671875
Australia,2006,23.12615195768139,1.4645601511001587,9.204626083374023
Australia,2007,24.629933221979908,1.5390427112579346,9.507079124450684
