Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
South Africa,1992,0.0,0.0,156.71699970017045
Other Africa,1992,30.33329224235731,27.600000000000005,8.703407547853228
Total Africa,1992,42.5757922423573,50.5445,165.42040724802368
Australia,1992,2.3915,11.964,130.0024
China,1992,53.21,2.467,567.329609468687
India,1992,14.811,16.258,229.412
Indonesia,1992,14.94006,3.24939,11.36168
Japan,1992,282.14148655026133,184.15915699386264,131.97460945587608
Malaysia,1992,10.586,12.672108006446951,3.837
South Korea,1992,23.145999,19.538756000000006,42.35909200000001
Taiwan,1992,22.48127843,3.021075696,37.554599098
Thailand,1992,15.09026,22.94304,14.81505
Vietnam,1992,1.62,0.006,0.851
Other Asia Pacific,1992,53.28743612759362,38.03856711123617,49.79067379493157
Total Asia Pacific,1992,493.7050201078549,314.3170938075458,1219.2877138174947
Canada,1993,12.008,15.299,82.384
Mexico,1993,65.92453189424891,19.067332403378067,11.558913499004245
US,1993,121.2776129032258,446.157847311828,1831.2107849462363
Total North America,1993,199.2101447974747,480.524179715206,1925.1536984452407
Argentina,1993,6.6930000000000005,21.99447665713744,1.18
Brazil,1993,6.215603472274298,0.388,4.908581072526466
Other S. & Cent. America,1993,58.71171151138817,31.576770467575194,8.155334803680983
Total S. & Cent. America,1993,71.62031498366247,53.95924712471263,14.24391587620745
France,1993,6.091,3.496,24.749
Germany,1993,10.1,32.8,293.7
Italy,1993,113.919,39.596,20.074
Netherlands,1993,3.026,44.121,24.248
Poland,1993,1.572,0.097,128.257
Spain,1993,9.544,1.196,63.388
Turkey,1993,5.1745,10.788200000000002,23.7599
Ukraine,1993,16.936,38.888,87.602
United Kingdom,1993,21.143,34.039,171.246
Other Europe,1993,54.60424854280368,60.76296738633173,256.71558275799083
Total Europe,1993,242.1097485428037,265.7841673863317,1093.739482757991
Kazakhstan,1993,6.734976480799255,7.759972901410871,55.31980681778987
Russian Federation,1993,82.88559580699697,429.16816716360734,148.39155109892516
Other CIS,1993,23.218,89.30656259999999,8.118
Total CIS,1993,112.83857228779624,526.2347026650182,211.82935791671505
Iran,1993,23.773345838713272,40.283654161286734,0.096
Saudi Arabia,1993,54.79301561326312,47.8755200327219,0.0
United Arab Emirates,1993,0.0018059510086455,21.728194048991355,0.0
