Date,Annual CO₂ emissions_global,Cluster,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)"
1990-01-01,22728989000.0,0,37.097315782558454,74.15037116615676,1.6553424306752713,5047.088692975436,37.17164261848158,141.1325300566698,64.61917142857142,2.523231882729528,85.28913380865157,2297.9778204082886,2174.205954475254,76.502766139148
1990-01-01,22728989000.0,1,18.694946536599414,88.39315653444058,0.8114215257212241,481.60639608941176,28.073956779235864,66.02181955545541,27.30047619047619,1.2935087888537773,6.708229605042521,102.15002581481396,134.4740099798667,1.773536629792799
1990-01-01,22728989000.0,2,40.86477160479086,73.12315252190764,1.862955085078508,21353.595485308666,40.36692221752622,354.05772474688143,79.9055,0.7235175570150922,139.51960351430094,8158.916576769106,7874.676131417393,321.8500619234487
1990-01-01,22728989000.0,3,30.50702535384251,82.08090090384592,1.296728068896606,1539.9209283234898,39.3478724068984,87.84020032885633,47.55454716981132,2.1588110458453387,31.51333500618687,466.6513224327417,529.8290281549966,14.975655904513468
1990-02-01,22767081750.0,0,37.04438094321564,74.266288949617,1.6875150636396685,5050.973890192392,37.23567668756896,141.304257887158,64.64609523809524,2.5415180807339883,85.49186143949451,2285.1347258546607,2175.2388360668915,79.84987506502338
1990-02-01,22767081750.0,1,18.574990092691,88.35005176927015,0.77504099991788,483.22328772642095,27.93185469953866,66.16078247347312,27.333099206349207,1.2963311860632316,6.723979679485042,101.8108761864946,134.72225956950604,1.8992298432790211
1990-02-01,22767081750.0,2,40.78727932803175,73.20294895881234,1.830244430750244,21395.27856071484,40.272197118196424,354.739357540499,79.92098076923077,0.7278636670636021,140.56672088144552,8178.389242968825,7887.070670763223,316.36544366611474
1990-02-01,22767081750.0,3,30.477029759092144,82.2471255548779,1.374334674910196,1521.4919202467506,39.3264562691575,87.98525057117499,47.59360691823899,2.42857807007985,31.508570096797285,464.69909784703407,528.5122571089511,15.085550679705198
1990-03-01,22805174500.0,0,36.99144610387284,74.38220673307725,1.7196876966040657,5054.859087409348,37.299710756656346,141.4759857176462,64.67301904761905,2.559804278738448,85.69458907033744,2272.2916313010323,2176.2717176585293,83.19698399089877
1990-03-01,22805174500.0,1,18.455033648782585,88.30694700409975,0.738660474114536,484.8401793634301,27.789752619841458,66.29974539149083,27.36572222222222,1.2991535832726864,6.7397297539275645,101.47172655817526,134.97050915914534,2.0249230567652434
1990-03-01,22805174500.0,2,40.70978705127265,73.28274539571703,1.7975337764219794,21436.96163612102,40.177472018866624,355.4209903341166,79.93646153846154,0.732209777112112,141.61383824859007,8197.861909168545,7899.465210109051,310.8808254087808
1990-03-01,22805174500.0,3,30.44703416434177,82.41335020590988,1.451941280923786,1503.0629121700113,39.3050401314166,88.13030081349366,47.632666666666665,2.698345094314361,31.50380518740769,462.7468732613264,527.1954860629055,15.19544545489693
1990-04-01,22843267250.0,0,36.938511264530035,74.4981245165375,1.751860329568463,5058.744284626303,37.36374482574374,141.64771354813442,64.69994285714286,2.5780904767429074,85.89731670118039,2259.4485367474044,2177.3045992501675,86.54409291677418
1990-04-01,22843267250.0,1,18.335077204874178,88.26384223892934,0.7022799483111919,486.45707100043927,27.64765054014426,66.43870830950854,27.398345238095235,1.3019759804821411,6.7554798283700865,101.13257692985592,135.21875874878467,2.1506162702514655
1990-04-01,22843267250.0,2,40.63229477451354,73.36254183262172,1.7648231220937152,21478.644711527202,40.082746919536824,356.1026231277342,79.9519423076923,0.7365558871606219,142.66095561573465,8217.334575368262,7911.859749454881,305.3962071514469
1990-04-01,22843267250.0,3,30.4170385695914,82.57957485694186,1.5295478869373762,1484.6339040932723,39.28362399367569,88.27535105581231,47.671726415094334,2.968112118548873,31.499040278018096,460.7946486756187,525.8787150168599,15.305340230088657
1990-05-01,22881360000.0,0,36.885576425187224,74.61404229999775,1.78403296253286,5062.629481843259,37.42777889483112,141.81944137862263,64.72686666666667,2.596376674747367,86.10004433202332,2246.6054421937765,2178.337480841805,89.89120184264956
1990-05-01,22881360000.0,1,18.215120760965764,88.22073747375893,0.665899422507848,488.07396263744846,27.505548460447056,66.57767122752625,27.430968253968256,1.3047983776915957,6.771229902812608,100.79342730153657,135.467008338424,2.276309483737688
1990-05-01,22881360000.0,2,40.55480249775443,73.44233826952642,1.7321124677654507,21520.327786933383,39.988021820207024,356.7842559213518,79.96742307692307,0.7409019972091316,143.70807298287923,8236.807241567982,7924.254288800711,299.9115888941129
1990-05-01,22881360000.0,3,30.387042974841027,82.74579950797384,1.607154492950966,1466.204896016533,39.26220785593478,88.42040129813098,47.71078616352201,3.237879142783384,31.494275368628504,458.84242408991105,524.5619439708145,15.415235005280389
1990-06-01,22919452750.0,0,36.832641585844414,74.729960083458,1.8162055954972571,5066.514679060215,37.491812963918505,141.9911692091108,64.75379047619047,2.614662872751827,86.30277196286626,2233.7623476401486,2179.3703624334426,93.23831076852497
1990-06-01,22919452750.0,1,18.09516431705735,88.17763270858853,0.6295188967045039,489.69085427445776,27.363446380749856,66.71663414554395,27.46359126984127,1.3076207749010502,6.78697997725513,100.45427767321722,135.71525792806332,2.40200269722391
