Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
Algeria,1990,76737624.0,0.9987326132325736,0.0012673867674263,0.0,0.0012673867674263,0.0,0.0083830104321907,0.0,0.0083830104321907,0.0,0.0308834446270058,0.969116555372994,2
Algeria,1991,78806830.0,0.9972239296966628,0.0027760703033371,0.0,0.0027760703033371,0.0,0.0168924762179302,0.0,0.0168924762179302,0.0,0.0330369293076357,0.9669630706923644,2
Algeria,1992,79883310.0,0.9981624252510838,0.001837574748916,0.0,0.001837574748916,0.0,0.0108826424587115,0.0,0.0108826424587115,0.0,0.0356385113450293,0.9643614886549706,2
Algeria,1993,81943970.0,0.99649719858918,0.0035028014108198,0.0,0.0035028014108198,0.0,0.0181827547130936,0.0,0.0181827547130936,0.0,0.0361900634699725,0.9638099365300274,2
Algeria,1994,88608390.0,0.9983742102927315,0.0016257897072684,0.0,0.0016257897072684,0.0,0.0083488407182014,0.0,0.0083488407182014,0.0,0.0335149562605915,0.9664850437394084,2
Algeria,1995,96776920.0,0.998177524029958,0.0018224759700418,0.0,0.0018224759700418,0.0,0.009789500380421,0.0,0.009789500380421,0.0,0.0381506066561307,0.9618493933438692,2
Algeria,1996,100039430.0,0.9987119661769598,0.0012880338230401,0.0,0.0012880338230401,0.0,0.0065362641619056,0.0,0.0065362641619056,0.0,0.0382821659489279,0.961717834051072,2
Algeria,1997,88369416.0,0.9992554408968216,0.0007445591031783,0.0,0.0007445591031783,0.0,0.0034888589105456,0.0,0.0034888589105456,0.0,0.041936445276156,0.958063554723844,2
Algeria,1998,106536560.0,0.9979382041954914,0.0020617958045086,0.0,0.0020617958045086,0.0,0.0092425414839652,0.0,0.0092425414839652,0.0,0.0449006145956233,0.9550993854043768,2
Algeria,1999,91449100.0,0.998072565979108,0.001927434020892,0.0,0.001927434020892,0.0,0.0081997010946399,0.0,0.0081997010946399,0.0,0.052512993484973,0.9474870065150268,2
Algeria,2000,85398600.0,0.999467645462726,0.000532354537274,0.0,0.000532354537274,0.0,0.0021249803242562,0.0,0.0021249803242562,0.0,0.0471929698849901,0.95280703011501,2
Algeria,2001,86839250.0,0.9993478155729508,0.0006521844270489,0.0,0.0006521844270489,0.0,0.0025915492957746,0.0,0.0025915492957746,0.0,0.0452051993295448,0.9547948006704552,2
Algeria,2002,90692380.0,0.9994832325030272,0.0005167674969726,0.0,0.0005167674969726,0.0,0.0020616319444444,0.0,0.0020616319444444,0.0,0.0432128804389971,0.9567871195610028,2
Algeria,2003,94580616.0,0.9977189597667048,0.0022810402332952,0.0,0.0022810402332952,0.0,0.0089745326469791,0.0,0.0089745326469791,0.0,0.041013768620874,0.958986231379126,2
Algeria,2004,91714220.0,0.99793213096388,0.0020678690361198,0.0,0.0020678690361198,0.0,0.008032257032225,0.0,0.008032257032225,0.0,0.0381509073668141,0.961849092633186,2
Algeria,2005,110992510.0,0.995658811820839,0.0043411881791607,0.0,0.0043411881791607,0.0,0.0163732861565678,0.0,0.0163732861565678,0.0,0.0341565487687984,0.9658434512312016,2
Algeria,2006,105896180.0,0.998367280246058,0.0016327197539417,0.0,0.0016327197539417,0.0,0.0061770800806199,0.0,0.0061770800806199,0.0,0.0328376715134286,0.9671623284865714,2
Algeria,2007,109889440.0,0.9984009541817814,0.0015990458182185,0.0,0.0015990458182185,0.0,0.0060573572768694,0.0,0.0060573572768694,0.0,0.0328697630149787,0.9671302369850212,2
Algeria,2008,111087410.0,0.9981224568089,0.0018775431911,0.0,0.0018775431911,0.0,0.0070333275343589,0.0,0.0070333275343589,0.0,0.0338934360217447,0.9661065639782552,2
Algeria,2009,118856330.0,0.997872145118428,0.0021278548815719,0.0,0.0021278548815719,0.0,0.0079328261272963,0.0,0.0079328261272963,0.0,0.0344592256182344,0.9655407743817656,2
Algeria,2010,118353256.0,0.998848658806674,0.0011513411933259,0.0,0.0011513411933259,0.0,0.0039816333224007,0.0,0.0039816333224007,0.0,0.0363927564191812,0.9636072435808188,2
Algeria,2011,125094570.0,0.9976474006532396,0.0023525993467604,0.0,0.0023525993467604,0.0,0.0077330694596283,0.0,0.0077330694596283,0.0,0.0384428992532194,0.9615571007467806,2
Algeria,2012,135674290.0,0.99775468029844,0.0022453197015598,0.0,0.0022453197015598,0.0,0.0072429397651206,0.0,0.0072429397651206,0.0,0.0403217786678336,0.9596782213321664,2
